ESTABILIDAD;02/10/2025 09:50:14;DOBACK027;Sesión:1;
ax; ay; az; gx; gy; gz; roll; pitch; yaw; timeantwifi; usciclo1; usciclo2; usciclo3; usciclo4; usciclo5; si; accmag; microsds; k3
59.78; 106.38; 1018.33; -893.72; -760.11; -2051.70; -16.50;  19.14; -94.27; 8079.00; 20000.00; 19996.00; 20044.00; 19955.00; 19999.00;   0.89; 1025.62; 194019.00;   0.50;
62.95; 106.38; 1019.55; -2564.98; -830.11; -1316.70; -16.29;  19.22; -94.71; 50097.00; 20003.00; 19997.00; 20002.00; 19996.00; 20017.00;   0.89; 1027.02; 194019.00;   0.50;
67.34; 108.34; 1016.50; 134.40; -913.24; -1321.07; -16.01;  19.28; -95.20; 54819.00; 19981.00; 19999.00; 20003.00; 19996.00; 19999.00;   0.88; 1024.48; 194019.00;   0.50;
67.83; 109.31; 1014.80; 2658.77; -2050.74; -2357.95; -15.76;  19.10; -95.67; 84453.00; 19999.00; 20003.00; 19996.00; 19999.00; 19999.00;   0.88; 1022.92; 194019.00;   0.50;
09:50:25
68.20; 113.83; 992.96; -2206.23; -1818.86; -2939.82; -15.65;  18.96; -96.08; 54580.00; 19999.00; 19999.00; 20003.00; 19999.00; 19997.00;   0.87; 1001.78; 194019.00;   0.50;
60.02; 120.78; 988.44; -3361.23; -235.11; -4247.95; -15.63;  19.21; -96.39; 42139.00; 20003.00; 19999.00; 20188.00; 19812.00; 19997.00;   0.89; 997.60; 194019.00;   0.50;
58.44; 122.98; 989.91; 633.15; 478.01; -6326.08; -15.46;  19.38; -96.82; 3817.00; 20005.00; 20043.00; 19951.00; 19999.00; 20107.00;   0.89; 999.23; 194019.00;   0.50;
56.85; 126.03; 987.71; 2768.15; 263.64; -7839.83; -15.21;  19.43; -97.38; 120.00; 19896.00; 19996.00; 20003.00; 19996.00; 19999.00;   0.90; 997.34; 194785.00;   0.50;
37.58;  78.69; 1018.21; 2024.40; -1053.24; -7616.70; -14.97;  19.47; -98.05; 35970.00; 20003.00; 19996.00; 20002.00; 19998.00; 19998.00;   0.93; 1021.94; 194785.00;   0.50;
43.43;  42.21; 982.83; -163.10; -1486.36; -6610.45; -14.67;  19.61; -98.93; 2353.00; 19999.00; 20003.00; 19996.00; 20006.00; 19992.00;   0.92; 984.70; 194785.00;   0.50;
49.04;  35.50; 986.49; -574.35; -751.36; -10228.58; -14.31;  19.84; -100.00; 12522.00; 20003.00; 20000.00; 19999.00; 20001.00; 20000.00;   0.91; 988.35; 194785.00;   0.50;
55.63;  33.55; 1007.23; -1589.35; 338.01; -11991.70; -13.79;  20.19; -101.32; 13235.00; 19996.00; 19999.00; 19999.00; 19999.00; 19999.00;   0.90; 1009.32; 194785.00;   0.50;
57.71;  40.99; 1005.52; 2938.77; 981.14; -17202.32; -13.14;  20.62; -102.80; 5518.00; 20000.00; 19998.00; 20003.00; 20000.00; 19996.00;   0.90; 1008.01; 194785.00;   0.50;
65.15;  40.99; 1003.33; 4106.90;  14.26; -17709.82; -12.53;  20.96; -104.38; 77488.00; 20003.00; 20000.00; 19996.00; 19999.00; 19999.00;   0.88; 1006.28; 194785.00;   0.50;
09:50:26
77.10;  37.45; 1005.52; 5248.77; -3455.11; -15377.95; -12.04;  21.33; -106.15; 2355.00; 19999.00; 20003.00; 19995.00; 20003.00; 19996.00;   0.86; 1009.17; 194785.00;   0.50;
83.45;  30.74; 1014.80; 2851.27; -5765.11; -15522.33; -11.69;  21.57; -108.01; 10701.00; 20003.00; 20007.00; 19992.00; 19998.00; 20002.00;   0.85; 1018.69; 194785.00;   0.50;
83.94;  29.52; 1013.94; -377.48; -7646.36; -14384.83; -11.60;  22.07; -109.87; 47272.00; 20000.00; 19995.00; 20003.00; 19996.00; 19999.00;   0.85; 1017.84; 194785.00;   0.50;
